Policy,Year,Keyword,Policy_Content,URL,Type,Source
SB-643: California Carbon Dioxide Removal Purchase Program,2025,United States,"Existing law establishes the State Air Resources Board as the state agency responsible for monitoring and regulating sources emitting greenhouse gases. Existing law requires the state board to establish a Carbon Capture, Removal, Utilization, and Storage Program, as provided, to evaluate the efficacy, safety, and viability of carbon capture, utilization, or storage technologies and carbon dioxide removal technologies and facilitate the capture and sequestration of carbon dioxide from those technologies, where appropriate. This bill would require the establishment and administration of the Carbon Dioxide Removal Purchase Program to purchase carbon dioxide removal credits by eligible carbon dioxide removal projects. Eligible carbon dioxide removal projects must be physically located within the state, incorporate or fund community benefit mechanisms commensurate with the eligible carbon dioxide removal project and result in carbon dioxide removals that are verified in the claimed quantity. Further it requires a minimum duration of sequestration, elimination, or other storage of removed gases without leakage to the atmosphere that is sufficiently long enough to ensure that the risk of leakage poses no material threat to public health, safety, the environment, or the achievement of net zero greenhouse gas emissions in California, and shall not be less than 100 years, and cannot be used for enhanced oil recovery. The bill would also require a survey of carbon dioxide removal projects existing or in development within the state, and, on or before December 31, 2027, and annually thereafter, to publish on its internet website a report describing Carbon Dioxide Removal Purchase Program activities completed and carbon dioxide removal credits purchased to date.
",https://cdrlaw.org/resources/sb-643-california-carbon-dioxide-removal-purchase-program/,Proposed Legislation,CDR_CCUS
SB 267: West Virginia Legislation on Pore Spaces,2025,Pore Space Ownership,"The law, which becomes effective July 8, opens up more pore space in West Virginia to potential carbon storage. The law look to safely lease subsurface pore spaces for carbon dioxide storage, with the goal of allowing the State can create new revenue streams for park maintenance and improvements while preserving public recreation. The law includes a provision that the center of injection well pads may not be located within 200 feet of a state park boundary. That requirement can be waived, however. The law follows up on West Virginia’s grant of enforcement authority over Class VI wells.",https://cdrlaw.org/resources/sb-267-west-virginia-legislation-on-pore-spaces/,Enacted Legislation,CDR_CCUS
Evaluation of the EPA’s Implementation of the Underground Injection Control Class VI Well Program (Report No. 25-E-0045),2025,United States,"The U.S. Environmental Protection Agency Office of Inspector General conducted this evaluation to determine whether the EPA has used available resources, including funds appropriated
by the Infrastructure Investment and Jobs Act, to improve the permitting of Class VI wells under its Underground Injection Control Program. The evaluation found that “The EPA met Congress’s intent to spend annual and supplemental appropriations to grow Class VI Program expertise and capacity and improve Class VI permitting with one exception. It did not spend $1.2 million of fiscal year 2023 annual appropriations within the available time frame for their intended purpose: to support training for personnel who regulate Class VI wells. Otherwise, the Agency successfully used annual appropriations to, among other things, increase the number of staff focused on Class VI work, enhance its data and information management tools, and develop additional guidance for Class VI Program implementation.”However, the evaluation concluded that “the EPA is not on track to issue all final Class VI permits within its 24-month goal, and it has not consistently determined whether permit applications were complete within 30 days of submission, as specified in 40 C.F.R. § 124.3(c).”",https://cdrlaw.org/resources/evaluation-of-the-epas-implementation-of-the-underground-injection-control-class-vi-well-program-report-no-25-e-0045/,Policy Proposal,CDR_CCUS
Public–private sharing of carbon sequestration risk,2024,CCS Liability,"This comment argues that carbon capture and sequestration (CCS) have long been recognized as critical components of any meaningful decarbonization strategy. To help catalyze the necessary CCS rush, policymakers should build on the positive experience with public–private risk sharing in another high-stakes segment of the energy economy — the nuclear power industry. Using the United States as a representative case study, this comment makes the case for a multi-tiered framework, backed by residual government responsibility, to manage long-term risk and liability for carbon sequestration in America and beyond.",https://cdrlaw.org/resources/public-private-sharing-of-carbon-sequestration-risk/,News/Commentary,CDR_CCUS
Required Procedures to Claim a Section 45Q Credit for Utilization of Carbon Oxide,2024,United States,"In July 2024, the IRS released this guidance (Notice 2024-60), which describes information that taxpayers must submit to the IRS before claiming a 45Q tax credit for carbon sequestration. The guidance specifically details information that must included in the lifecycle analysis (LCA) report, which the IRS must approve for each eligible carbon sequestration facility before awarding the credit. The LCA must include, among other things, a cover page with details on the project and include supplemental information, such as the production and maintenance schedules. Further, an independent third party must prepare or verify the life cycle analysis and provide a statement of its role with the report.",https://cdrlaw.org/resources/required-procedures-to-claim-a-section-45q-credit-for-utilization-of-carbon-oxide/,Declaration,CDR_CCUS
EPA – Regulatory and Statutory Authorities Relevant to Carbon Capture and Sequestration (CCS),2024,"London Convention/London Protocol,Marine Sequestration,United States","As part of the docket on New Source Performance Standards for greenhouse gas emissions from new and reconstructed fossil fuel-fired electric generating units (Docket ID: EPA-HQ-OAR-2023-0072), the EPA published on May 9, 2024 a non-exhaustive guide in the form of a table as to potentially applicable requirements for CCS projects. Inclusion on this list should not be read as EPA’s independent determination that a listed permit or permission is required, but rather provide an illustrative view as to the regulations and permits that any potential project would want to consider. The list includes authorities related to site selection, CO2 capture, CO2 transportation and CO2 sequestration.",https://cdrlaw.org/resources/epa-regulatory-and-statutory-authorities-relevant-to-carbon-capture-and-sequestration-ccs/,News/Commentary,CDR_CCUS
H.B. 169: Louisiana Bill to Amend Liability for Carbon Capture and Sequestration,2024,"CCS Liability,United States","H.B. 169 was signed into law on August 1, 2024, and amends LA Rev Stat § 30:1109 (2023) on the question of liability for operating carbon capture and storage operations. The bill alters the current law by limiting compensatory damages in any civil liability action against the owner or operator of a storage facility, carbon dioxide pipeline, or the generator of the carbon for non-economic losses to $250,000 per person, rather than per occurrence. In cases of wrongful death or substantial injuries, the recovery for these losses cannot exceed $500,000 per person.",https://cdrlaw.org/resources/h-b-169-louisiana-bill-to-amend-liability-for-carbon-capture-and-sequestration/,Enacted Legislation,CDR_CCUS
H.B. 492 – Louisiana Bill on Eminent Domain Rights for CCS,2024,"Enhanced Oil Recovery,Pore Space Ownership","H.B. 492 was signed into law on August 1, 2024 to amend the Louisiana R.S. 19:2(9) through (12) and R.S. 30:1103(12), 1104(C)(introductory paragraph), 1107, 1108(A)(2) and (B)(1) and to enact R.S. 30:1108(A)(3). It aims to clarify the rights of owners of land as it relates to eminent domain.Where domestic or foreign corporations are unable to reach an agreement for compensation of land, the bill entitles expropriation authority if the corporations are engaged in transportation of carbon dioxide by pipeline for underground storage or enhanced recovery. However, eminent domain rights relative to geologic storage were extinguished. A certificate of public convenience and necessity from the State of Louisiana, Department of Energy and Natural Resources, Office of Conservation provides the authority for eminent domain.",https://cdrlaw.org/resources/h-b-492-louisiana-bill-on-eminent-domain-rights-for-ccs/,Enacted Legislation,CDR_CCUS
H.B. 516: Louisiana Bill on Emergency Preparedness for Carbon Dioxide Sequestration,2024,,"H.B. 516 was signed into law on June 19, 2024 to amend Louisiana R.S. 30:1112 and to enact Louisiana R.S. 30:1103(14) and (15), 1107.2, 1113, and 1114. The Bill aimed to increase emergency preparedness relating to carbon dioxide sequestration. Prior to the commencement of carbon dioxide injection, an owner or operator of a storage facility is required to have in place an emergency and remedial response plan, which would also be provided to local officials. The owner or operator must also conduct periodic testing and monitoring of groundwater quality.",https://cdrlaw.org/resources/h-b-516-louisiana-bill-on-emergency-preparedness-for-carbon-dioxide-sequestration/,Enacted Legislation,CDR_CCUS
H.B. 937: Louisiana Bill on Landowner Liability for Carbon Dioxide Sequestration,2024,CCS Liability,"H.B. 937 was signed and effective from August 1, 2024 and amend and reenact Louisiana R.S. 30:1104(A)(10) and 1109(A)(3) and to enact R.S. 30:1103(14) and 1109.1. The bill protects landowners from liability if the claim against them is only from the mere fact that they were landowners or allowed their property to be used for activities related to carbon dioxide sequestration.",https://cdrlaw.org/resources/h-b-937-louisiana-bill-on-landowner-liability-for-carbon-dioxide-sequestration/,Enacted Legislation,CDR_CCUS
