Policy,Year,Keyword,Policy_Content,URL,Type,Source
Canada Federal Offset Protocol,2025,Canada,"In January 2025, Environment and Climate Change Canada (ECCC) released a preliminary draft of its Federal Offset Protocol (Protocol) for direct air carbon dioxide capture and geological storage (DACCS) projects. The Protocol is intended for projects capturing carbon dioxide (CO2) directly from the atmosphere and storing it in subsurface geological formations. The draft Protocol proposes a framework for generating federal offset credits. DACCS projects and activities would thus be subject to specific conditions, as well as measurement, reporting and verification requirements to quantify GHG removals generated by the project.To be eligible, the project must be a new project with a start date (i.e., the date of the first injection in the storage site) on or after January 1, 2022. Further, the project site must be located in a single province or territory that has sufficient laws governing the permanent storage of captured CO2. At present, only Alberta, British Columbia and Saskatchewan have been designated as such. Project proponents can employ any specific direct air capture process including chemical, mechanical or electrochemical processes. Project proponents can also use any type of geological storage reservoir, although the captured CO2 cannot be used for enhanced oil recovery purposes.The deadline for comments on the draft Protocol is March 28, 2025.",https://cdrlaw.org/resources/canada-federal-offset-protocol/,Proposed Legislation,CDR_NETS
SB-643: California Carbon Dioxide Removal Purchase Program,2025,United States,"Existing law establishes the State Air Resources Board as the state agency responsible for monitoring and regulating sources emitting greenhouse gases. Existing law requires the state board to establish a Carbon Capture, Removal, Utilization, and Storage Program, as provided, to evaluate the efficacy, safety, and viability of carbon capture, utilization, or storage technologies and carbon dioxide removal technologies and facilitate the capture and sequestration of carbon dioxide from those technologies, where appropriate. This bill would require the establishment and administration of the Carbon Dioxide Removal Purchase Program to purchase carbon dioxide removal credits by eligible carbon dioxide removal projects. Eligible carbon dioxide removal projects must be physically located within the state, incorporate or fund community benefit mechanisms commensurate with the eligible carbon dioxide removal project and result in carbon dioxide removals that are verified in the claimed quantity. Further it requires a minimum duration of sequestration, elimination, or other storage of removed gases without leakage to the atmosphere that is sufficiently long enough to ensure that the risk of leakage poses no material threat to public health, safety, the environment, or the achievement of net zero greenhouse gas emissions in California, and shall not be less than 100 years, and cannot be used for enhanced oil recovery. The bill would also require a survey of carbon dioxide removal projects existing or in development within the state, and, on or before December 31, 2027, and annually thereafter, to publish on its internet website a report describing Carbon Dioxide Removal Purchase Program activities completed and carbon dioxide removal credits purchased to date.
",https://cdrlaw.org/resources/sb-643-california-carbon-dioxide-removal-purchase-program/,Proposed Legislation,CDR_NETS
Governance Challenges for Domestic Cross-Border Carbon Capture and Storage,2025,"China,United States","This short comment investigates governance challenges of domestic cross-border carbon capture in both China and the United States. The comment reviews challenges from diverse political systems, economic structures and cultural backgrounds that direct policy decisions. The comment highlights that overcoming these challenges requires a comprehensive and coordinated approach built on synergistic cluster governance.",https://cdrlaw.org/resources/governance-challenges-for-domestic-cross-border-carbon-capture-and-storage/,News/Commentary,CDR_NETS
The European Ocean Pact,2025,"European Union,Marine Sequestration","The European Ocean Pact builds on existing legislation and initiatives and will  provide a holistic approach across all policy areas. It introduces a single reference framework aimed at streamlining coordination processes, simplifying reporting obligations and offering a strategy for implementing existing legislations and achieving policy goals more coherently across sectors. It lays the groundwork for an Ocean Union, including an Ocean Act building on the existing Maritime Spatial Planning Directive, and leverages the ocean’s immense potential for Europe’s resilience, food sovereignty, energy supply, security and competitiveness. It will also reinforce cooperation with international initiatives.This Pact will support six priorities:
• protecting and restoring ocean health,
• boosting sustainable competitiveness of the blue economy,
• supporting coastal, island communities and outermost regions,
• advancing ocean research, knowledge, skills and innovation,
• enhancing maritime security and defence as a prerequisite,
• strengthening EU ocean diplomacy and international rules-based governance.The Pact is committed to the precautionary principle and the need to ensure an adequate scientific basis on which to justify such activities and an appropriate consideration of associated risk and impacts before advancing with emerging technologies that intervene in marine environments for climate change mitigation, such as marine geoengineering and carbon dioxide removal technologies.",https://cdrlaw.org/resources/the-european-ocean-pact/,Proposed Legislation,CDR_NETS
Developing Model Federal Legislation to Advance Safe and Responsible Ocean Carbon Dioxide Removal Research in the United States,2023,"Marine Sequestration,United States","This model federal legislation aims to advance safe and responsible ocean carbon dioxide removal (CDR) research in U.S. waters. Controlled field trials and other in-ocean research is critical to improve scientific and societal understanding of CDR techniques that could help the U.S. reach its climate goals. However, existing legal frameworks were not designed to regulate ocean CDR and, in some cases, unnecessarily or inappropriately restrict needed research. The purpose of this proposed model legislation is to establish clear and efficient permitting regime for in-ocean CDR research. At the same time, the model legislation builds in consultation, monitoring, and other safeguards to ensure research occurs in a scientifically-sound manner and minimizes potential risks to the environment and communities.",https://cdrlaw.org/resources/developing-model-federal-legislation-to-advance-safe-and-responsible-ocean-carbon-dioxide-removal-research-in-the-united-states/,Proposed Legislation,CDR_NETS
A.8597 – Carbon Dioxide Removal Leadership Act,2022,United States,"This bill establishes a state-funded reverse auction to purchase carbon dioxide removal projects to help achieve greenhouse gas reduction goals, with auction funds derived from a fee on aviation fuel. The bill adds a new article 76 to the Environmental Conservation Law authorizing the New York State Department of Environmental Conservation (DEC) to conduct an annual reverse auction to purchase carbon dioxide removal (CDR) projects. In a “reverse” auction, the buyer puts out a request for a required good or service, sellers submit bids for the good or service, and the seller with the lowest bid wins the contract to provide the good or service.Commencing in 2025, DEC will conduct the reverse auction from April 1 to June 30 of each year. At least 60 days prior to the auction, DEC must establish a CDR target for that auction year. The CDR target must be no less than 0.1 million metric tons in the first auction year and must be increased in each subsequent year. The maximum average price per ton of CDR will be $350 in the first auction year and decrease by five percent each subsequent year. The minimum bid for 80 percent of the CDR target cannot be less than 10,000 tons of CDR, and the minimum bid for 20 percent of the removal target cannot be less than 1,000 tons of CDR. All CDR must be achieved within ten years of the contract between the bidder and DEC.Prior to the initiation of the reverse auction, DEC must annually publish a survey of CDR opportunities in the State, including a review of existing and potential CDR projects in the State. The survey must incorporate methodologies that provide for direct engagement between DEC and disadvantaged communities. Funding for the authorized five-year reverse auction period will be from State revenues accrued in preceding tax years from certain reinstated tax revenues on aviation gasoline imported by a petroleum distributor registered under Article 12-A of the Tax Law.",https://cdrlaw.org/resources/a-8597-carbon-dioxide-removal-leadership-act/,Proposed Legislation,CDR_NETS
H.R. 2803 – Agriculture Resilience Act,2021,"Environmental Justice,United States","This bill would bolster agriculture and climate research and incentive programs at the U.S. Department of Agriculture. It would incentivize soil health practices through crop insurance discounts and a new soil health grant program for States and Tribes. The bill would also increase funding for LAMP and ACEP and amend the tax code to reward the sale of permanent conservation easements and farm property to socially disadvantaged farmers. The bill also has provisions for supporting pasture-based livestock systems, investing in on-farm energy initiatives, and reducing food waste.",https://cdrlaw.org/resources/h-r-2803-agriculture-resilience-act/,Proposed Legislation,CDR_NETS
H.R. 2750 – Blue Carbon for Our Planet Act,2021,United States,"This bill would establish an NOAA-led Interagency Working Group on Coastal Blue Carbon to develop a national map of coastal blue carbon ecosystems. The working group would conduct research to establish national restoration goals and priorities for coastal blue carbon ecosystems; assess the biophysical, social, and economic barriers to restoration of coastal blue carbon ecosystems; study the effects of environmental and human stressors on sequestration rates; and preserve continuity of coastal blue carbon data. The bill directs the working group to collaborate with the National Academy of Sciences to assess long-term effects of geologic carbon stores in deep-sea environments, including their effects on marine species and ecosystems.",https://cdrlaw.org/resources/h-r-2750-blue-carbon-for-our-planet-act/,Proposed Legislation,CDR_NETS
H.R. 2820 – Growing Climate Solutions Act of 2021,2021,United States,"This bill would create a Greenhouse Gas Technical Assistance Provider and Third-Party Verifier Certification Program within the U.S. Department of Agriculture (USDA). The program would help solve technical entry barriers that prevent farmer and forest landowner participation in carbon credit markets. The bill would direct USDA to provide transparency, legitimacy, and informal endorsement of third-party verifiers and technical service providers to help private landowners generate carbon credits. It would also assist landowners in implementing the protocols and monetizing the climate value of their sustainable practices by connecting them to relevant private sector actors.",https://cdrlaw.org/resources/h-r-2820-growing-climate-solutions-act-of-2021/,Proposed Legislation,CDR_NETS
H.R. 2670 – The Civilian Climate Corps for Jobs and Justice Act,2021,United States,"This bill would amend the National and Community Service Act of 1990 to establish a Civilian Climate Corps (CCC) to help communities respond to climate change, transition to clean economies, and boost local climate jobs. The bill includes provisions on labor standards to create an equitable CCC including fair compensation, grants to cover student loans, career pathways, and priority to environmental justice (EJ) communities.",https://cdrlaw.org/resources/h-r-2670-the-civilian-climate-corps-for-jobs-and-justice-act/,Proposed Legislation,CDR_NETS
