Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Notification No. 2022/1 on recycling contribution fee according to the Environment Law No. 2872.,2021,Türkiye,"This Notification sets out the amounts of recycling contribution fee according to the Environment Law No. 2872 for the period of 1 January 2021 and 31 December 2021, in order to protect the environment. This Notification shall apply to plastic bags and packaging materials: glass, paper and cardboard, metal, plastic, and wood.",https://www.ecolex.org/details/legislation/notification-no-20221-on-recycling-contribution-fee-according-to-the-environment-law-no-2872-lex-faoc208608/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Environment gen.,Regulation,"Protection of environment, Recycling/reuse, Environmental fees/charges","Asia, Black Sea, Europe, Europe and Central Asia, Mediterranean, Middle East, Western Asia",This Notification shall be effective from 1 January 2022.,ECOLEX_Legislation
Notification No. 2022/14 on import of ozone depleting substances and fluorinated greenhouse gases.,2021,Türkiye,"This Notification lays down the procedures and principles regarding import in order to prevent and control the use of substances in Annex-1, Annex-2, Annex-3A and Annex-3B that deplete the ozone layer within the framework of the studies and activities carried out within the scope of the Declaration of the United Nations Conference on the Human Environment and World Plan of Action on the Ozone Layer of the United Nations Environment Program.",https://www.ecolex.org/details/legislation/notification-no-202214-on-import-of-ozone-depleting-substances-and-fluorinated-greenhouse-gases-lex-faoc208618/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Air & atmosphere, Environment gen.",Regulation,"Ozone layer, Hazardous substances, Air quality/air pollution, Protection of environment, Public health, Pollution control, Emissions","Asia, Black Sea, Europe, Europe and Central Asia, Mediterranean, Middle East, Western Asia",This Notification enters into force on 1 January 2022.,ECOLEX_Legislation
Loi de Finances nº 21/029 du 31 decembre 2021 pour l'Exercice 2022.,2021,"Congo, Dem. Rep. of","La présente Loi contient les dispositions relatives aux recettes et aux dépenses du Pouvoir central de l'exercice 2022. Elle fixe globalement la part des recettes a caractère national allouées aux provinces, conformément a la Constitution et a la Loi relative aux Finances Publiques.  Notamment, elle porte des règles concernant la taxe sur la valeur ajoutée pour divers produits, tels que: les poissons salés; la viande; le riz; le sucre; et le lait. D'ailleurs, les projets d'investissements sur financement de l'allocation de DTS concernent les secteurs sociaux et porteurs de croissance notamment (i) Santé Publique, Hygiène et Prévention, (ii) Enseignement Primaire, Secondaire et Technique, (iii) Infrastructures et Travaux Publics, (iv) Agriculture, (v) Développement Rural, (vi) Ressources Hydrauliques et Electricité, (vii) Transport et Voies de Communication, figurant aux annexes XVIII de la présente Loi.",https://www.ecolex.org/details/legislation/loi-de-finances-no-21029-du-31-decembre-2021-pour-lexercice-2022-lex-faoc208950/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Agricultural & rural development, Energy, Food & nutrition, Water",Legislation,"Agricultural development, Subsidy/incentive, Policy/planning, Financial agricultural measures, Tax/levy, Fish products","Africa, Central Africa, Least Developed Countries, South Atlantic",,ECOLEX_Legislation
Order No. 798 of 2021 of Minister of Justice on Determining Systematic Registration Geographic Area for Purposes of Law of Georgia on Improvement of Cadastral Data and Procedure for Systematic and Sporadic Registration of Rights to Plots of Land within Framework of State Project,2021,Georgia,This Order determines the geographic area for the systematic registration of plots of land as provided under the Law of Georgia on Improvement of Cadastral Data and Procedure for Systematic and Sporadic Registration of Rights to Plots of Land within Framework of State Project (5 sections).,https://www.ecolex.org/details/legislation/order-no-798-of-2021-of-minister-of-justice-on-determining-systematic-registration-geographic-area-for-purposes-of-law-of-georgia-on-improvement-of-cadastral-data-and-procedure-for-systematic-and-sporadic-registration-of-rights-to-plots-of-land-within-framework-of-state-project-lex-faoc209890/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Land & soil,Regulation,"Cadastre/land registration, Land reform, Ownership, Governance","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
Order No. 2-1731 of 2021 of Minister of Environmental Protection and Agriculture of Georgia on Annual Import Quota of Ozone-depleting Substances for 2022,2021,Georgia,"The Order provides for the quota of ozone-depleting substance, Chlorodifluoromethane (CHF2Cl, HCFC-22), for 2022, setting it at 40,00 metric tons.",https://www.ecolex.org/details/legislation/order-no-2-1731-of-2021-of-minister-of-environmental-protection-and-agriculture-of-georgia-on-annual-import-quota-of-ozone-depleting-substances-for-2022-lex-faoc209897/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Environment gen.,Regulation,"Ozone layer, Allocation/quota, International trade, Hazardous substances","Asia, Black Sea, Eastern Europe, Europe, Europe and Central Asia, Western Asia",,ECOLEX_Legislation
Notification on quality control over the export and import of specific agricultural products (Product Safety and Inspection: 2022/21).,2021,Türkiye,"This Notification lays down the procedures and principles of risk-based quality control over exported and imported agricultural products listed in Annex-I and Annex-II. This Notification shall apply to the exported products that are subject to export regime and inward processing regime as well as to the imported products that are subject to release free for circulation and inward processing regime. This Notification does not cover food safety controls. This Notification sets out provisions on application procedures, inspection, refusal of exported and imported products, secondary inspection, objection against inspection, customs procedures, obligations of the importer and exporter, sampling, analysis, labeling, certification, and sanctions. The company details shall be registered in a database by the Directorate General of Product Safety and Inspection. The quality control of the exported and imported agricultural products listed in Annex-I and Annex-II shall be carried out by the Inspectors in order to assess the compliance to the technical regulations. The criteria for risk analysis shall be established by the Risk Commission.",https://www.ecolex.org/details/legislation/notification-on-quality-control-over-the-export-and-import-of-specific-agricultural-products-product-safety-and-inspection-202221-lex-faoc209263/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Agricultural & rural development,Regulation,"Agricultural commodities, Inspection, International trade, Certification, Research, Risk assessment/management","Asia, Black Sea, Europe, Europe and Central Asia, Mediterranean, Middle East, Western Asia",This Notification enters into force on 1 January 2022.,ECOLEX_Legislation
Regulation No. 19-T of the Ministry of Natural Resources and Environmental Protection validating Environmental norms and rules.,2021,Belarus,"These environmental norms and rules establish mandatory rules for conducting an environmental impact assessment. The development of an EIA program is carried out in the form according to the Annex on the basis of: (a) an analysis of alternative technological solutions, taking into account the best available technical methods, their economic efficiency, environmental security, resource consumption per unit of production, the degree of risk and probability of accidents, as well as alternative options placement of the object, including the refusal to place it, taking into account restrictions in the field of environmental protection; and (b) analysis of available information on the current state of the environment, socio-economic and other conditions within the zone of possible impact (materials of topographic survey of the site for the location of the facility, data from the National Environmental Monitoring System in the Republic of Belarus, socio-hygienic monitoring systems, systems for monitoring and forecasting of natural and man-made disasters, data of state cadastres of natural resources, cartographic and aerospace materials, results of sampling and measurements in the field of environmental protection, results of research, development, experimental technological work in relation to the components of the natural environment); and (c) consideration of criteria whether the impact of the proposed economic and other activities may have transboundary effects.",https://www.ecolex.org/details/legislation/regulation-no-19-t-of-the-ministry-of-natural-resources-and-environmental-protection-validating-environmental-norms-and-rules-lex-faoc212275/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Environment gen.,Regulation,"EIA, Risk assessment/management, Ecofriendly products/ecofriendly processes, Hazards, Transboundary effects, Monitoring, Data collection/reporting, Access-to-information","CIS (Commonwealth of Independent States), Eastern Europe, Europe, Europe and Central Asia",This Regulation enters into force after its official publication.,ECOLEX_Legislation
Loi n° 2021-033 du 31 decembre 2021 relative aux marchés publics.,2021,Togo,"Cette loi, qui se compose de 8 Titres, fixe les règles régissant la passation, l'exécution, le contrôle et la régulation des marchés publics en République Togolaise, qui sont sont soumises, selon ce qui est prévu par le Titre 1, aux principes d'économie, efficacité, efficience et équité du processus d'acquisition; concurrence et libre accès des opérateurs économiques à la commande publique; égalité de traitement des candidats; reconnaissance mutuelle de normes techniques, d'actes et de procédures d'homologation et de certification reconnus par les États membres de l’Union économique et monétaire ouest africaine (UEMOA); transparence et l'intégrité des procédures, leur rationalité, leur modernité et leur traçabilité ; respect des normes environnementales, sociales et de développement durable. Le même Titre définit le champ d'application de la loi et les seuils d'application des procédures.",https://www.ecolex.org/details/legislation/loi-n-2021-033-du-31-decembre-2021-relative-aux-marches-publics-lex-faoc213955/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,General,Legislation,"Certification, Contract/agreement, Dispute settlement, Financing, Framework law, Governance, Legal proceedings/administrative proceedings, Offences/penalties, Procedural matters, Public participation, Public private partnership (PPP), Risk assessment/management, Sustainable development","Africa, Least Developed Countries, North Atlantic, Western Africa",,ECOLEX_Legislation
Local Content Act.,2021,Guyana,"This Local Content is enacted to provide for the implementation of local content obligations on persons engaged in petroleum operations or related activities in the petroleum sector; to prioritise Guyanese nationals and Guyanese companies in the procurement of goods and services for the enhancement of the value chain of the petroleum sector; to enable local capacity development; to provide for the investigation, supervision, co-ordination, monitoring and evaluation of, and participation in, local content in Guyana; to promote competitiveness and encourage the creation of related industries that will sustain the social and economic development of Guyana.",https://www.ecolex.org/details/legislation/local-content-act-lex-faoc213478/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,"Energy, General",Legislation,"Policy/planning, Registration, Authorization/permit, Inspection, Monitoring, Business/industry/corporations, Capacity building, Energy conservation/energy production, Oil","Amazonia, Americas, Latin America and the Caribbean, North Atlantic, Small Island Developing States, South America",,ECOLEX_Legislation
Loi N° 2021-034 relative aux contrats de partenariat public-privé.,2021,Togo,"La présente loi a pour objet de régir les contrats de partenariat public-privé. Elle détermine leur régime juridique et leur cadre institutionnel. Les contrats de partenariat public-privé, quels que soient leurs montants et sources de financement, satisfont aux principes suivants qui guident l’action publique lors de la préparation, la passation et l’exécution des contrats de partenariat public-privé. Les contrats de partenariat public-privé prennent en compte les objectifs de développement durable dans leurs dimensions environnementale, économique et sociale, en exigeant un contenu local dans les contrats. Les dispositions de la présente loi s’appliquent aux contrats de partenariat public-privé conclus dans tous les secteurs d’activité de la vie économique et sociale sous réserve de l’application de dispositions sectorielles spécifiques ou dérogatoires à la présente loi, applicables aux secteurs des mines, des hydrocarbures, de l’énergie, de l’eau et des télécommunications qui régissent les autorisations, licences et permis octroyés aux partenaires privés.",https://www.ecolex.org/details/legislation/loi-n-2021-034-relative-aux-contrats-de-partenariat-public-prive-lex-faoc218871/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,General,Legislation,"Public private partnership (PPP), Business/industry/corporations, Procedural matters, Legal proceedings/administrative proceedings, Contract/agreement, Sustainable development","Africa, Least Developed Countries, North Atlantic, Western Africa",La présente loi sera exécutée comme loi de l’Etat.,ECOLEX_Legislation
"Loi n° 2021-025 complétant et modifiant certaines dispositions de la loi n° 2010-033 du 20 juillet 2010, modifiée, portant code des hydrocarbures bruts.",2021,Mauritania,"Avec cette Loi, les dispositions de l’article 2 de la loi n° 2010-033 du 20 juillet 2010, modifiée, portant code des hydrocarbures bruts sont complétées par un article 2(BIS) concernant la prévision d'une zone promotionelle, bénéficiant de conditions adaptées pour promouvoir la recherche et  l’exploitation des Hydrocarbures.",https://www.ecolex.org/details/legislation/loi-n-2021-025-completant-et-modifiant-certaines-dispositions-de-la-loi-n-2010-033-du-20-juillet-2010-modifiee-portant-code-des-hydrocarbures-bruts-lex-faoc218397/?q=&type=legislation&xsubjects=Mineral+resources&xdate_min=1900&xdate_max=2021,Mineral resources,Legislation,"Contract/agreement, Natural gas, Research, Tax/levy","Africa, Least Developed Countries, Near East and North Africa, North Atlantic, Sahel, Western Africa",,ECOLEX_Legislation
