Policy,Year,Country,Policy_Content,URL,Scope,Allocation,Sectoral coverage,GHGs covered,Offsets credits,Cap,Source
Argentina,,Argentina,"The “National Strategy for the Use of Carbon Markets” (ENUMeC), approved in 2023, establishes a framework for compliance and voluntary carbon markets in Argentina in line with the country’s NDC’s, the Long-Term Strategy to 2050, and the “National Climate Change Adaptation and Mitigation Plan” (PNAyMCC). Compliance carbon markets are highlighted as key instruments under the “Financiamiento para la Transición” strategy, aiming to provide transparency and reliability for carbon market implementation at national and international levels. An initial legislative proposal for an ETS in Argentina was included in a Bill introduced by President Milei in December 2023. Aligned with ENUMeC’s objectives, the proposed ETS would have initially covered the energy sector, with potential for expansion to other sectors. However, due to significant opposition, all ETS references were removed from the revised Framework Law (Ley Bases) in April 2024. Despite this, there are signs that the administration remains open to market-led decarbonization approaches. In November 2024, legislative proposals were introduced in the Chamber of Deputies (6538-D-2024) and Senate (S2134/34) titled “Bill for Minimum standards for the implementation of greenhouse gas mitigation projects in Argentina” (Proyecto de Ley de Presupuestos Mínimos para la Implementación de Proyectos de Mitigación de Gases de Efecto Invernadero). The proposed Bill aims to operationalize ENUMeC, mandate regulations for voluntary carbon markets, establish the National Registry of Greenhouse Gas Mitigation Projects (ReNaMi) and facilitate Article 6 implementation under the Paris Agreement. ETS development is not included in the proposal. Additionally, in September 2024, Argentina partnered with the Inter-American Development Bank (IDB) to commission an ETS blueprint that includes international benchmarking and an impact cost assessment.",https://icapcarbonaction.com/en/ets_system/127,National,,,,,,ICAP
Australian Safeguard Mechanism,,Australia,"The Safeguard Mechanism assigns mandatory facility-level emissions baselines for over 200 large facilities in Australia. It applies to all facilities that emit more than 100,000 tonnes CO 2 e of covered emissions in a financial year. Covered entities must surrender credits for emissions that exceed the installation’s annual emissions limit (baseline), which is set using an emissions intensity framework. Facilities emitting above their baseline must offset excess emissions by surrendering Safeguard Mechanism Credits (SMCs) or Australian Carbon Credit Units (ACCUs). In some cases, facilities can also apply to average their emissions over a longer period, reduce their baseline decline rate if eligibility criteria are met, or borrow from their baseline from a future year. The Safeguard Mechanism was introduced in 2016 but had not been classified as a baseline-and-credit system as no tradeable permits were issued. However, following legislative changes passed in March 2023 which took effect as of July 2023, the government is able to issue SMCs to facilities that over-achieve on their baseline. This reform was accompanied by a tightening of baselines and a default decline rate of 4.9% per year, to align the outcome with Australia’s 2030 targets and pave the way towards carbon neutrality by 2050. This in effect turned the Safeguard Mechanism into a baseline-and-credit system.",https://icapcarbonaction.com/en/ets_system/128,National,Free Allocation (Output-based Benchmarking),"Mining and extractives, Waste, Domestic Aviation, Transport, Industry","CO2, CH4, N2O, SF6, HFCs, PFCs","Domestic, unlimited",,ICAP
Austrian National Emissions Certificate Trading System,2022,Austria,"Austria launched its national emissions certificate trading system ( Nationales Emissionszertifikatehandelsgesetz – NEHG) for fossil fuels not already covered by the EU ETS in October 2022. Although the NEHG does not establish a carbon tax, the carbon pricing instrument follows in central parts the logic of existing energy taxes (fuel tax, coal tax, and natural gas tax). Thus, if a certain event is taxable under the existing energy taxes regime, an obligation to buy allowances arises under the NEHG. Taxable events are the production, import, or release of energy products from a tax warehouse in Austria or the supply of coal and natural gas to consumers. In practice, only a limited number of energy distributors and oil companies are subject to the NEHG, while the majority of (end) consumers are not directly liable. The NEHG aims to cover emissions outside the EU ETS, encompassing predominantly emissions in the buildings and transport sectors. Between 2022 and 2026, the system will operate with an annually increasing fixed price and without a cap. The NEHG will end in December 2026 and will be replaced by the EU ETS 2 from January 2027 (see the ‘EU ETS 2’ factsheet for more).",https://icapcarbonaction.com/en/ets_system/122,National,Fixed price until 2026,"Agriculture and/or forestry fuel use, Transport, Buildings, Industry",Several gases (CO2e),Not allowed,No cap,ICAP
Brazilian Greenhouse Gas Emissions Trading System,,Brazil,"Law No. 15,042/2024 establishes the Brazilian Greenhouse Gas Emissions Trading System ( Sistema Brasileiro de Comércio de Emissões de Gases de Efeito Estufa , SBCE). The SBCE aims to support the implementation of  “Law No. 12,187 – Brazilian National Climate Change Policy” and the achievement of the country’s climate targets. The law lays out the governance framework and the legal foundation for obligations by covered entities, with key design elements (such as scope, cap, and allocation) to be determined in the coming years. The ETS will impose compliance obligations on entities emitting more than 25,000 tCO 2 e per year, with reporting obligations applying to those emitting more than 10,000 tCO 2 e per year. Covered entities will have to surrender allowances for all their covered emissions (see ‘Compliance Period’ below). A priori , the ETS applies to all sectors of the economy – with the explicit exemption of agricultural activities, and with forestry activities expected to generate carbon credits. The extent to which some sectors will see entities covered by the SBCE will depend on whether participation thresholds will apply to individual sources or e.g., at company level, which is yet to be determined. The system will be overseen by the Interministerial Climate Change Committee, and operated by the SBCE management body, which will be supported by a technical consultative body. National Allocation Plans – to be published regularly – will set out the cap and its expected trajectory, allocation methods, the percentage of offset credits allowed for compliance, market stability provisions, as well as provisions to protect against reversals and leakage, among others. The cap is to be set in accordance with Brazilian climate targets. Revenues from the trade of allowances and offset credits will be subject to net gains and capital gains tax. Non-compliance will be punishable by fines and embargoes, among other penalties. Covered entities will be allowed to surrender domestic offset credits to meet part of their compliance obligation. Eligible activities are those that make use of methodologies accredited by the SBCE management body (to be determined); verified by an independent entity; and registered in the SBCE Central Registry. Once registered in the SBCE registry as Verified Emissions Reduction or Removal Certificates ( Certificado de Redução ou Remoção Verificada de Emissões - CRVE), the offset credits will become eligible for use under the SBCE. The agriculture, land-use change and forestry sectors – responsible for more than 60% of emissions in Brazil – are expected to play a key role in the generation of CRVE. Provisions for REDD+ credits are included in the law. The law also explicitly defines the rights of indigenous peoples and traditional communities with regard to carbon crediting. This includes the right to commercialize offset credits generated on lands they traditionally occupy, as well as the compensation for any damages resulting from offset credit projects. Actors involved in offset credit projects would also have to adhere to a benefit-sharing regulation. The law also stipulates that CRVEs may be eligible for international transfers under Article 6 of the Paris Agreement, subject to authorization by a designated national entity. The SBCE registry will track both national and international transactions. The implementation of the law will occur in five stages: Phase I: government enacts regulations needed to implement the system (one to two years). Phase II: regulated entities operationalize emissions monitoring and reporting (one year). Phase III: regulated entities face monitoring and reporting obligations (two years). Phase IV: implementation of the first national allocation plan, with free allowance allocation. Phase V: full operationalization of the SBCE, following the end of the first national allocation plan.",https://icapcarbonaction.com/en/ets_system/79,National,Free Allocation: TBD; Auctioning,"Maritime, Mining and extractives, Waste, Domestic Aviation, Transport, Industry, Power","CO2, CH4, N2O, HFCs, SF6, PFCs","Domestic offset credits will be allowed, with quantitative limits",,ICAP
Canada - British Columbia Output-Based Pricing System,2024,British Columbia,"The British Columbia Output-Based Pricing System (B.C. OBPS) aims to reduce emissions from industrial operations within the province. It is an intensity-based ETS in which covered entities must fulfil a compliance obligation for emissions that exceed the facility’s annual emissions limit. These limits are based on product-specific performance standards, which are emissions intensity benchmarks. The system applies to producers of certain regulated industrial products (mainly in mining and oil and gas) that emit more than 10,000 tCO 2 e per year. The system began in April 2024, replacing the CleanBC Industrial Incentive Program (CIIP). The CIIP encouraged cleaner industrial operations by reducing carbon tax costs for facilities that could demonstrate their operations were among the lowest emitting for their sector. The B.C. OBPS follows the Canadian federal carbon price path and ensures a price incentive for industrial emitters to reduce GHG emissions through a performance-based system. Facilities that emit under their annual emission limit earn credits. For facilities that emit over their emission limit, the B.C. OBPS provides flexible compliance options to meet compliance obligations. Flexible payment options include using earned credits, B.C. offsets, or making a direct payment to the government. The total emission limit under the B.C. OBPS is the sum of the bottom-up output-based emissions limits for all individual covered entities. However, the bottom-up emissions limits do not represent an absolute cap.",https://icapcarbonaction.com/en/ets_system/70,SubNational,Free Allocation (Output-based Benchmarking),"Mining and extractives, Industry","CO2, CH4, N2O, HFCs, SF6, PFCs",Domestic offset credits with quantitative limits,,ICAP
Canada National Cap-and-Trade System for Oil and Gas Emissions,,Canada,"In November 2024, the Government of Canada published draft “Oil and Gas Sector Greenhouse Gas Emissions Cap Regulations” for public consultation. The proposed regulations would establish a cap-and-trade system for GHG emissions from upstream oil and gas and LNG production, including both onshore and offshore oil production and natural gas production and processing. The proposed system would cover all direct GHG emissions from all specified gases (including CO 2 , CH 4 , and N 2 O) except for those from the production of electricity, with adjustments for transfers of thermal energy and hydrogen. It will be phased in between 2026 and 2029. Registration for existing operators would be required by January 2026, with reporting requirements beginning for large operators for 2026 and small operators for 2028. Compliance periods, where the emissions cap would set a limit on covered emissions, would be three years in length, with the first compliance period set for 2030 to 2032. Operators would be responsible for ensuring compliance across all facilities under their control. The inclusion threshold would be based on an operator’s cumulative production across all industrial activities, with an annual threshold set at 365,000 barrels of oil equivalent. The emissions cap would be determined based on 2026 data, set at 27% below the reported emissions from reporting operators for that year, which is estimated to be 35% below 2019 levels.  The regulations would be reviewed within 5 years of coming into force to revise the emissions cap level for subsequent compliance periods and ensure the sector remains on a path to net-zero by 2050. The system would provide free, tradable emissions allowances to operators prior to each compliance year, with the first allowances for 2030 distributed by the end of 2029. Allowance distribution would be based on historical production and distribution rates by industrial activity based on 2019 estimates. These rates would be fixed in the proposed Regulations, and the final distribution of allowances would be pro-rated to the level of the emissions cap. Covered operators would be able to bank allowances for up to one subsequent compliance period and transfer allowances between registered operators. Allowances would not be able to be used for compliance under federal or provincial carbon pricing systems. Operators would need to remit one compliance unit for each tonne of CO 2 e emitted by their facilities, with interim requirements mandating coverage of at least 30% of emissions in each of the first two years of a compliance period. Eligible compliance units would include emissions allowances, recognized Canadian offset credits, and decarbonization units. Operators would be able to use offset credits and decarbonization units as compliance units to cover up to 20% of their obligations in total, while up to 10% could be covered by decarbonization units priced at CAD 50 (USD 36.50) per tCO 2 e. A review of the proposed regulations and the cap for the post-2032 period will be completed within five years of implementation, ensuring the system remains effective in reducing emissions post-2032 and that the sector remains on a path to net-zero by 2050.",https://icapcarbonaction.com/en/ets_system/112,SubNational,,,,,,ICAP
Canada - New Brunswick Output-Based Pricing System,2021,New Brunswick,"New Brunswick transitioned large industrial emitters from the federal output-based pricing system (OBPS) to a provincial OBPS from January 2021. This OBPS is established under the “Climate Change Act” and the “Reduction of Greenhouse Gas Emissions Regulation” and seeks to deliver incremental GHG emissions reductions at the lowest cost to industry, while supporting low-carbon growth and investment, minimizing carbon leakage, ensuring fairness, and providing clarity, administrative efficiency, accountability and transparency. It is an intensity-based ETS in which each covered entity must surrender compliance units for emissions that exceed the facility’s annual emissions limit. The annual emissions limits are based on emissions intensity benchmarks, which are derived from historical emissions and production data. The system applies to the same sectors and GHGs as the federal system, and follows the same price trajectory, rising CAD 15 (USD 10.95) each year until 2030, resulting in a price of CAD 170 (USD 124.15) per tCO 2 e in 2030.",https://icapcarbonaction.com/en/ets_system/133,SubNational,Free Allocation (Output-based Benchmarking),"Mining and extractives, Industry, Power","CO2, CH4, N2O, SF6, HFCs, PFCs",,,ICAP
Canada - Nova Scotia Output-Based Pricing System for Industry,2023,Nova Scotia,"The Nova Scotia Output-Based Pricing System for Industry (Nova Scotia OBPS) is part of the province’s approach to reduce GHG emissions from large industrial facilities. Similar to the federal carbon pricing system in Canada, it aims to lower emissions while maintaining economic competitiveness and minimizing carbon leakage. The Nova Scotia OBPS was approved by the Canadian federal government in November 2022 and began operating in 2023. It replaced Nova Scotia’s cap-and-trade program, which had been in place since 2019 but was officially phased out after the final compliance deadline in December 2023. The Nova Scotia OBPS sets facility-level emissions-intensity standards (performance standards) for electricity generators and large industrial emitters. It is mandatory for facilities with annual emissions equal to or more than 50,000 tCO 2 e. Other facilities under this threshold with annual emissions of ≥10,000 tCO 2 e/year have the option to voluntarily join the system. If they do not join, they are subject to the Canada federal fuel charge. Covered entities must surrender compliance units (performance credits or fund credits) for emissions that exceed the facility’s annual emissions limit. The annual emissions limit is based on an emissions intensity benchmark. If a facility’s emissions are below its limit, it earns performance credits, which can be banked for future use or sold.",https://icapcarbonaction.com/en/ets_system/88,SubNational,Free Allocation,"Mining and extractives, Industry, Power","CO2, CH4, N2O, SF6, NF3, HFCs, PFCs",Offset credits are not allowed at this time.,,ICAP
Canada - Ontario Emissions Performance Standards program,2022,Ontario,"Ontario’s Emissions Performance Standards (EPS) program came into effect in January 2022, replacing the federal output-based pricing system (OBPS) that was operational in Ontario from 2019 to 2021. It is an intensity-based ETS for large industrial emitters, in which each covered entity must surrender compliance units for emissions that exceed its annual emissions limit. The annual emissions limit is based on facility-specific, sectoral, or historical emissions benchmarks, depending on the facility. The system applies to the same sectors and gases as the federal OBPS. The federal fuel charge took effect in Ontario in 2019 and remains in effect, with the price rising CAD 15 (USD 10.95) each year until 2030, resulting in a price of CAD 170 (USD 124.15) per tCO 2 e in 2030.",https://icapcarbonaction.com/en/ets_system/132,SubNational,Free Allocation (Output-based Benchmarking),"Mining and extractives, Industry, Power","CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,,ICAP
Chile,,Chile,"In June 2022, Chile enacted its Framework Law on Climate Change, which sets a 2050 carbon neutrality goal and describes the national, regional, and local climate policies that Chile will implement to achieve it. These include Chile’s NDC, “Long-Term Climate Strategy”, “Climate Change Financial Strategy”, and sectoral mitigation and adaptation plans. Article 14 of the law mandates the Ministry of Environment to specify GHG emissions limits set by technology, sector, or activity. GHG emissions limits may be set as emissions benchmarks for individual installations or in aggregate, for a group of installations or a sector. If set in aggregate, GHG emissions limits could be akin to a cap. According to Article 15 [IV1] , installations that perform better than their benchmark will have their surplus emissions reductions certified, which may then be used by other regulated entities for compliance with their respective emissions limits. The specific design of the emissions limits system is not yet defined and could be implemented either as an ETS or a tradable performance standard. The “Rules for the Development of GHG Emissions Standards and Short-Lived Climate Pollutant Limits” was approved in March 2024 by Chile’s Council of Ministers for Sustainability and Climate Change*. The document specifies procedures and characteristics of the emission limits to be developed under the Framework Law. Similarly, the “Rules for the Emissions Compensation System of GHG Emissions Standards and Short-Lived Climate Pollutant Limits” underwent public consultation** in 2024 and was reviewed by the Council of Ministers for Sustainability and Climate Change in early 2025. It specifies the rules and procedures to verify and approve GHG emission or short-lived climate pollutant reduction or absorption projects, as well as to generate credits from reductions, absorptions or excess in compliance with the standards. Based on Article 37 of the Law, which provides a basis for the development of market-based, fiscal, and financial instruments to address the negative impacts of GHG emissions, the country’s “2022-2026 Energy Agenda” states that a pilot ETS project for the energy sector will be developed. The Green Hydrogen Action Plan, the Decarbonization Plan (in draft form), and the Sectoral Mitigation and Adaptation Plan, foresee that a pilot ETS for the energy sector will be designed in 2025 and start operating in 2026. Moreover, the draft Sectoral Mitigation and Adaptation Plan specifies that work around this will be supported by the World Bank’s Partnership for Market Implementation. Chile has had a carbon tax in place since 2017. The country’s “Long-Term Climate Strategy”, presented in October 2021, specifies that Chile will set an increasing trajectory for its carbon price between 2025 and 2030. It also specifies that the country seeks to have an integral carbon pricing portfolio to deliver coherent and predictable price signals. In line with this, the government launched its “National Energy Policy by 2050”, which states that carbon prices in Chile should reach USD 35/tCO 2 e by 2030 and USD 80/tCO 2 e by 2040. * Rules for the Development of GHG Emissions Standards and Short-Lived Climate Pollutant Limits, March 2024 ** Rules for the Emissions Compensation System of GHG Emissions Standards and Short-Lived Climate Pollutant Limits, November 2024",https://icapcarbonaction.com/en/ets_system/54,National,,Power,,,,ICAP
