Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL,Document Role,Document Type,Category
adaptation-approaches-in-danish-municipalities-climate-action-plans-report-on-the-dk2020-project_99ba,Adaptation approaches in Danish municipalities' climate action plans (report on the DK2020 project),dk2020-project_8876,DK2020 Project,"<p>The DK2020 project intends for every municipality to draw up a climate action plan to reduce emissions and help keep global heating at safe levels. The impact of this collective effort has huge potential – Danish municipalities aim to cut 76% of Denmark’s total emissions by 2030, compared to 1990.</p>
<p>DK2020 supports municipalities all over Denmark in developing, upgrading or adjusting their existing work on climate action to global best practice, and in ultimately developing climate action plans in line with the 1.5 degree goal in the Paris Agreement. The climate action plans must show the way towards local climate neutrality in 2050 – or sooner. </p>
<p>The climate action plans will comply with the Climate Action Planning Framework developed by the C40 cities network. DK2020 marks the first time this international standard is adapted and applied for use in smaller cities and municipalities. Realdania, a private association in Denmark which supports projects in architecture and planning, formed a partnership with Local Government Denmark and the five Danish regions – ensuring DK2020 a total funding of DKK 45 mill (appr. €6 mio.) that made it possible to invite all Danish municipalities to join the project. Simultaneously, five geographical organizations with specialist competencies were established to provide advice and consultancy on a regional level. From the beginning in 2019, C40 and green think tank CONCITO have assisted as knowledge partners and project secretariat.    </p>",,,Original Language,https://concito.dk/files/media/document/Adaptation%20approaches%20in%20Danish%20municipalites%20climate%20action%20plans_2024.3.4.pdf,English,CCLW,DNK,Denmark,2019-01-01 00:00:00+00:00,2019-01-01,Passed/Approved,2019-01-01,2026-02-19,2026-02-19,CCLW.document.i00007786.n0000,CCLW.family.i00007758.n0000,CCLW.corpus.i00000001.n0000,,,Adaptation;Mitigation,,Economy-wide,Cities,,,,https://climate-laws.org/documents/adaptation-approaches-in-danish-municipalities-climate-action-plans-report-on-the-dk2020-project_99ba,https://climate-laws.org/document/dk2020-project_8876,Supporting Documentation,Programme,Executive
lesotho-national-report-nr7-2026_6172,Lesotho National Report. NR7 (2026),lesotho-national-report-nr7-2026_2f23,Lesotho National Report. NR7 (2026),<p>Lesotho National Report. NR7 (2026)</p>,,,,,English,UNFCCC,LSO,Lesotho,2026-02-18 00:00:00+00:00,2026-02-18,Passed/Approved,2026-02-18,2026-02-19,2026-02-19,UNFCCC.document.i00006983.n0000,UNFCCC.family.i00006982.n0000,UN.corpus.UNCBD.n0000,,,,,,,,Lesotho,Party,https://climate-laws.org/documents/lesotho-national-report-nr7-2026_6172,https://climate-laws.org/document/lesotho-national-report-nr7-2026_2f23,Main,National Report (Nr),UNFCCC
uganda-national-report-nr7-2026_1230,Uganda National Report. NR7 (2026),uganda-national-report-nr7-2026_a639,Uganda National Report. NR7 (2026),<p>Uganda National Report. NR7 (2026)</p>,,,,,English,UNFCCC,UGA,Uganda,2026-02-17 00:00:00+00:00,2026-02-17,Passed/Approved,2026-02-17,2026-02-19,2026-02-19,UNFCCC.document.i00006986.n0000,UNFCCC.family.i00006985.n0000,UN.corpus.UNCBD.n0000,,,,,,,,Uganda,Party,https://climate-laws.org/documents/uganda-national-report-nr7-2026_1230,https://climate-laws.org/document/uganda-national-report-nr7-2026_a639,Main,National Report (Nr),UNFCCC
european-union-national-report-nr7-2026_ff41,European Union National Report. NR7 (2026),european-union-national-report-nr7-2026_9314,European Union National Report. NR7 (2026),<p>European Union National Report. NR7 (2026)</p>,,,,,English,UNFCCC,EUR,European Union,2026-02-13 00:00:00+00:00,2026-02-13,Passed/Approved,2026-02-13,2026-02-19,2026-02-19,UNFCCC.document.i00006989.n0000,UNFCCC.family.i00006988.n0000,UN.corpus.UNCBD.n0000,,,,,,,,European Union,Party,https://climate-laws.org/documents/european-union-national-report-nr7-2026_ff41,https://climate-laws.org/document/european-union-national-report-nr7-2026_9314,Main,National Report (Nr),UNFCCC
national-environment-sector-plan-nesp-2023-2027_d74f,National Environment Sector Plan (NESP) 2023-2027,national-environment-sector-plan-nesp-2023-2027_7a76,National Environment Sector Plan (NESP) 2023-2027,"<p>Samoa's National Environment Sector Plan (NESP) for 2023-2027 aims to guide environmental conservation and sustainable development, noting climate change as a significant national and global threat to the environment. A priority of the plan is to enhance climate resilience and low-carbon technology across sectors, through land use and efficient natural resource consumption. It promotes forest restoration, improved hydrological and climate monitoring/warning systems, and general improvements in climate-resilience capacity across environmental education, governance and infrastructure project implementation.</p>",,,,https://cdn.prod.website-files.com/67a155f272e2c5aeb2caf892/67f75c92687ca671b40d4dfa_National-Environment-Sector-Plan-23-27_final%20(1)_compressed.pdf,English,CCLW,WSM,Samoa,2024-06-27 00:00:00+00:00,2024-06-27,Passed/Approved,2024-06-27,2026-02-19,2026-02-19,CCLW.document.i00007784.n0000,CCLW.family.i00007783.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation;Adaptation,,Environment;Economy-wide,,,,,https://climate-laws.org/documents/national-environment-sector-plan-nesp-2023-2027_d74f,https://climate-laws.org/document/national-environment-sector-plan-nesp-2023-2027_7a76,Main,Plan,Executive
agriculture-and-fisheries-plan-2022-2027_fff7,Agriculture and Fisheries Plan 2022-2027,agriculture-and-fisheries-plan-2022-2027_d6af,Agriculture and Fisheries Plan 2022-2027,"<p>Samoa's Agriculture and Fisheries Plan 2022-2027 aims to guide sustainable development and economic growth in these sectors over the medium term. The plan acknowledges climate change as a major threat to agricultural and fishery resources, and emphasises economic/resource diversification as a key tool to adapt to climate threats. It contains additional provisions promoting the development of extreme weather early warning systems, knowledge management systems, resilient crop breeding and climate-adaptive governance.</p>",,,,https://www.maf.gov.ws/wp-content/uploads/2023/07/FINAL-AFSP-2022_2023-2026_2027-1.pdf,English,CCLW,WSM,Samoa,2023-01-18 00:00:00+00:00,2023-01-18,Passed/Approved,2023-01-18,2026-02-19,2026-02-19,CCLW.document.i00007778.n0000,CCLW.family.i00007777.n0000,CCLW.corpus.i00000001.n0000,,,Adaptation;Disaster Risk Management,,Coastal zones;Agriculture,Fisheries,,,,https://climate-laws.org/documents/agriculture-and-fisheries-plan-2022-2027_fff7,https://climate-laws.org/document/agriculture-and-fisheries-plan-2022-2027_d6af,Main,Plan,Executive
energy-sector-plan-2023-2028_e508,Energy Sector Plan 2023-2028,energy-sector-plan-2023-2028_19c6,Energy Sector Plan 2023-2028,"<p>This plan guides the development of the Samoan energy sector over the medium term, emphasising the need to adapt to climate risk by diversifying the energy supply, and mitigate emissions by switching to renewable energy. It aims to to achieve a 70% renewable share of energy consumption by 2031, and develop solar, wind, biomass and hydroelectric generation infrastructure as well as significant grid improvements. The plan notes the need for development to be inclusive, emphasising the effectiveness of local ownership over off-grid renewable generation systems.</p>",,,,https://cdn.prod.website-files.com/67a155f272e2c5aeb2caf892/67f728e7cacda1d4c3bdb90a_Samoa-Energy-Sector-Plan.pdf,English,CCLW,WSM,Samoa,2024-12-14 00:00:00+00:00,2024-12-14,Passed/Approved,2024-12-14,2026-02-19,2026-02-19,CCLW.document.i00007781.n0000,CCLW.family.i00007780.n0000,CCLW.corpus.i00000001.n0000,,,Mitigation;Adaptation,,Energy,,,,,https://climate-laws.org/documents/energy-sector-plan-2023-2028_e508,https://climate-laws.org/document/energy-sector-plan-2023-2028_19c6,Main,Plan,Executive
constitutional-law-no-zru-737-2021-on-the-state-of-emergency_465a,Constitutional Law No. ZRU-737/2021 on the state of emergency,constitutional-law-no-zru-737-2021-on-the-state-of-emergency_95d1,Constitutional Law No. ZRU-737/2021 on the state of emergency,"<p>This law determine the conditions and procedure for introducing a state of emergency throughout the territory or in certain areas of the Republic of Uzbekistan. The aim of the state of emergency is to eliminate the circumstances that served as the basis for its introduction, ensure the safety of citizens of the Republic of Uzbekistan and protect the constitutional order and territorial integrity of the Republic of Uzbekistan. Article 5 states that natural disasters can be circumstances that justify the introduction of the state of emergency.</p>",,,,https://faolex.fao.org/docs/pdf/uzb207865.pdf,Russian,CCLW,UZB,Uzbekistan,2021-12-15 00:00:00+00:00,2021-12-15,Passed/Approved,2021-12-15,2023-11-30,2026-02-19,CCLW.legislative.10480.5445,CCLW.family.10480.0,CCLW.corpus.i00000001.n0000,,,Disaster Risk Management,,Economy-wide,,"Standards, obligations and norms|Regulation;Other|Governance",,,https://climate-laws.org/documents/constitutional-law-no-zru-737-2021-on-the-state-of-emergency_465a,https://climate-laws.org/document/constitutional-law-no-zru-737-2021-on-the-state-of-emergency_95d1,Main,Law,Legislative
the-cap-towards-2020-meeting-the-food-natural-resources-and-territorial-challenges-of-the-future_d1a5,"The CAP towards 2020: Meeting the food, natural resources and territorial challenges of the future",the-cap-towards-2020-meeting-the-food-natural-resources-and-territorial-challenges-of-the-future_42f6,"The CAP towards 2020: Meeting the food, natural resources and territorial challenges of the future","<p>This resolution discusses options for reform to the Common Agricultural Policy in order to respond to the challenges of food security, climate change and territorial balance.</p>",Common Agricultural Policy,"Launched in 1962, the EU’s common agricultural policy (CAP) aims to:
Support farmers and improve agricultural productivity, ensuring a stable supply of affordable food;
Safeguard European Union farmers to make a reasonable living;
Help tackle climate change and the sustainable management of natural resources;
Maintain rural areas and landscapes across the EU;
Promote jobs in farming, agri-food industries and associated sectors.

The first reforms to introduce climate considerations into the CAP took place in 2013. The CAP is a common policy for all EU countries. It is managed and funded at European level from the resources of the EU’s budget.",,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52011IP0297,English,CCLW,EUR,European Union,2013-12-20 00:00:00+00:00,2013-12-20,Passed/Approved,2013-12-20,2023-11-30,2026-02-19,CCLW.legislative.1200.3099,CCLW.family.1200.0,CCLW.corpus.i00000001.n0000,CCLW.collection.1200.0,,Adaptation;Mitigation,,LULUCF;Agriculture;Transport,Food Security;Institutions / Administrative Arrangements;REDD+ And LULUCF,"Standards, obligations and norms|Regulation;Subsidies|Economic;Provision of climate funds|Direct Investment;Nature based solutions and ecosystem restoration|Direct Investment;Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/the-cap-towards-2020-meeting-the-food-natural-resources-and-territorial-challenges-of-the-future_d1a5,https://climate-laws.org/document/the-cap-towards-2020-meeting-the-food-natural-resources-and-territorial-challenges-of-the-future_42f6,Main,Policy,Executive
updated-final-national-energy-and-climate-plan-necp-2021-2030_6309,Updated Final National Energy and Climate Plan (NECP). 2021-2030,belgium-updated-final-national-energy-and-climate-plan-necp-2021-2030_8a5b,Belgium Updated Final National Energy and Climate Plan (NECP). 2021-2030,"<p>The National Energy and Climate Plan (NECP) is a ten-year integrated document mandated by the European Union to each of its member states in order for the EU to meet its overall greenhouse gases emissions targets. </p>
<p>The plan aims to define measures adapted to different dimensions: 1) decarbonisation dimension: reduction of GHG emissions by 35% in 2030 compared to 2005 for non-ET sectors, a Belgian contribution of 17.4% of renewable energies compared to gross final energy consumption; 2) energy efficiency dimension : Belgium has set a contribution to the European target of 32.5% by 2030 (15% in primary energy and 12% in final energy); 3) energy security dimension : one of the most important challenges for Belgium, in the short and medium term. A radical shift in the electricity mix due to the planned gradual phase-out of nuclear power around 2025 is planned; 4) the internal energy market dimension : regarding energy transport infrastructure, efforts will be made in the coming years to strengthen the existing interconnections with France and the Netherlands; 5) research, Innovation and Competitiveness dimension : Belgium is committed to devoting at least 3% of its gross domestic product overall to RD.</p>",,,Translation,https://commission.europa.eu/document/download/8d994392-46f3-4ae8-a531-1d1b2fbab354_en?filename=BE%20NECP%20update%202025_final_EN.pdf,English,CCLW,BEL,Belgium,2019-12-18 00:00:00+00:00,2025-10-07,Passed/Approved;Passed/Approved,2019-12-18;2025-10-07,2026-02-19,2026-02-19,CCLW.document.i00007773.n0000,CCLW.family.9494.0,CCLW.corpus.i00000001.n0000,,,Adaptation;Mitigation,Soil Erosion;Drought,Agriculture;Economy-wide;Energy;Transport,Energy Supply;Buildings;Biofuels;Biogas;Agriculture;Electricity,"Subsidies|Economic;Tax incentives|Economic;Capacity building|Governance;Processes, plans and strategies|Governance;International cooperation|Governance;Education, training and knowledge dissemination|Information;Research & Development, knowledge generation|Information",,,https://climate-laws.org/documents/updated-final-national-energy-and-climate-plan-necp-2021-2030_6309,https://climate-laws.org/document/belgium-updated-final-national-energy-and-climate-plan-necp-2021-2030_8a5b,Main,Plan,Executive
